policy,full_profile_calls,full_profile_reduction_vs_always,method_wall_clock_sec,feedback_error,geomean_speedup,geomean_speedup_without_task88,claim_support
always_profile,10,0.0,456.1651734185871,0.0,1.554501546770807,1.0054793223387857,quality_upper_bound
value_of_profile,5,0.5,357.8136640281882,0.49986559640057626,1.8308458298651056,1.2337206125789035,main_cost_quality_policy
periodic_profile,5,0.5,308.4394545517862,0.49994107409102745,1.5426859398743162,0.9957302201142393,budgeted_baseline
random_profile,5,0.5,356.3337948084809,0.49993540625006433,1.5471224458983583,0.9992665874608154,budgeted_baseline
uncertainty_only,5,0.5,302.1515088318847,0.4998762440004568,1.828600764822166,1.2318284000603428,budgeted_baseline
