policy,feedback_error,vop_minus_policy_abs,vop_minus_policy_rel,method_full_profile_calls,method_wall_clock_sec,geomean_speedup_without_task88
always_profile,0.0,0.49986559640057626,,10,456.1651734185871,1.0054793223387857
cheap_only,0.9998819772640954,-0.5000163808635192,-0.5000754011305192,0,159.8593659417238,1.0014597741420024
periodic_profile,0.49994107409102745,-7.547769045118669e-05,-0.00015097317336531542,5,308.4394545517862,0.9957302201142393
random_profile,0.49993540625006433,-6.980984948806723e-05,-0.00013963773842644945,5,356.3337948084809,0.9992665874608154
uncertainty_only,0.4998762440004568,-1.0647599880564407e-05,-2.1300471883506184e-05,5,302.1515088318847,1.2318284000603428
predicted_benefit_only,0.4998889325782076,-2.3336177631338995e-05,-4.668272512252119e-05,5,361.33056877274066,1.2356370424123855
value_of_profile,0.49986559640057626,0.0,0.0,5,357.8136640281882,1.2337206125789035
oracle_vop_diagnostic,0.499856033015784,9.563384792243834e-06,1.9132278417337517e-05,5,359.1656343608629,1.2278490871387868
